"filename", "language", "JavaScript", "JSON", "Properties", "XML", "Markdown", "JSON with Comments", "Prisma", "comment", "blank", "total"
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/EdgeDashboard/OverviewLayout.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 4, 69
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/FlowDashboard/CreateFlow.js", "JavaScript", 286, 0, 0, 0, 0, 0, 0, 2, 20, 308
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/FlowDashboard/FlowTable.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 8, 142
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/FlowDashboard/OverviewLayout.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 4, 69
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/Overview.js", "JavaScript", -173, 0, 0, 0, 0, 0, 0, 0, -6, -179
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/OverviewLayout.js", "JavaScript", -39, 0, 0, 0, 0, 0, 0, 0, -3, -42
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav.js", "JavaScript", -152, 0, 0, 0, 0, 0, 0, -1, -14, -167
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/AppNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/CoreNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/EdgeNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/FlowNav.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 4, 90
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/SideNav.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 5, 14, 138
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/TenantNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/UserNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/TenantDashboard/OverviewLayout.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 4, 61
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/TenantDashboard/TenantForm.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 3, 218
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/TenantDashboard/TenantTable.js", "JavaScript", 152, 0, 0, 0, 0, 0, 0, 0, 10, 162
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/UserDashboard/OverviewLayout.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 4, 61
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/UserDashboard/UserForm.js", "JavaScript", 267, 0, 0, 0, 0, 0, 0, 0, 6, 273
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/UserDashboard/UserTable.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 9, 147
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Login/Login.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 7, 139
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/NoderedIcon.js", "JavaScript", -25, 0, 0, 0, 0, 0, 0, 0, -3, -28
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Utils/Logo.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Utils/NoderedIcon.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/static/image/Freezonex.svg", "XML", 0, 0, 0, -23, 0, 0, 0, 0, -2, -25
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/utils/actions.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 6, 43
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/utils/http.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 2, -1, 26
"Total", "-", 2851, 969, 0, -12, 1, 3, 1, -4, 157, 3966
