"filename", "language", "JavaScript", "JSON", "Properties", "Markdown", "XML", "Prisma", "JSON with Comments", "SQL", "comment", "blank", "total"
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/(context)/(no-layout)/login/page.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/(context)/layout.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 3, 23
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/api/cores/route.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/api/edges/[id]/route.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/api/edges/route.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 4, 29
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/api/flows/[fid]/route.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 2, 3, 62
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/api/flows/create/route.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 1, 2, 65
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/api/flows/route.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/api/user/flows/[uid]/route.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 2, 26
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/layout.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/app/page.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/AppDashboard/AppForm.js", "JavaScript", 269, 0, 0, 0, 0, 0, 0, 0, 0, 6, 275
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/AppDashboard/AppTable.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 7, 187
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/AppDashboard/OverviewLayout.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/CoreDashboard/CoreForm.js", "JavaScript", 268, 0, 0, 0, 0, 0, 0, 0, 0, 6, 274
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/CoreDashboard/CoreTable.js", "JavaScript", 200, 0, 0, 0, 0, 0, 0, 0, 1, 8, 209
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/CoreDashboard/OverviewLayout.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/CoreDashboard/TdengineDrawer.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 0, 0, 6, 232
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/EdgeDashboard/EdgeForm.js", "JavaScript", 273, 0, 0, 0, 0, 0, 0, 0, 0, 5, 278
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/EdgeDashboard/EdgeTable.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 0, 8, 185
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/EdgeDashboard/OverviewLayout.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/FlowDashboard/CreateFlow.js", "JavaScript", 289, 0, 0, 0, 0, 0, 0, 0, 2, 20, 311
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/FlowDashboard/FlowDetails.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 7, 5, 127
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/FlowDashboard/FlowTable.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 0, 8, 181
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/FlowDashboard/OverviewLayout.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 5, 77
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/AppNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/CoreNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/EdgeNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/FlowNav.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 4, 89
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/SideNav.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 5, 6, 77
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/TenantNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/yangyueHelen/Desktop/material-ui-nextjs/src/components/Home/SideNav/UserNav.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
